@relation 'testData (Autosaved)'

@attribute Date date "MM/dd/yyyy"
@attribute OPEN numeric
@attribute VOLUME numeric
@attribute AverageChangeLast-5 numeric
@attribute AverageChangeLast-10 numeric
@attribute AverageChangeLast-30 numeric
@attribute 'Crude Oil Imports(US)' numeric
@attribute DayToDay(Classifier) numeric

@data
5/23/2011,80.22,16288500,1.038,-1.425,-2.020333,12246,0
5/24/2011,81.05,15687300,1.354,-1.746,-2.146333,12246,1
5/25/2011,80.97,19347200,0.64,-1.381,-0.565333,12246,1
5/26/2011,81.6,16873700,-0.706,0.593,0.054,12246,1
5/27/2011,82.74,11949100,-0.404,0.057,1.228333,12478,1
5/31/2011,83.28,23630700,1.568,1.303,-0.218667,12478,1
6/1/2011,83.55,19550200,1.298,1.856,0.444,12478,0
6/2/2011,81.77,18152600,1.526,1.128,0.548333,12478,0
6/3/2011,80.24,17281200,0.77,-0.303,-1.614,11367,0
6/6/2011,80.93,15954300,-0.612,-0.128,-2.478,11367,1
6/7/2011,80.61,16188100,-1.62,1.504,-3.205333,11367,0
6/8/2011,80.61,23567300,-2.584,0.607,-3.552667,11367,1
6/9/2011,81.24,17665100,-1.058,0.634,-4.824667,11367,1
6/10/2011,80.95,18965900,0.442,-0.074,-4.594667,11040,0
6/13/2011,80,17854200,-0.528,-1.475,-5.246667,11040,0
6/14/2011,80.05,16443400,-0.42,-2.355,-6.208333,11040,1
6/15/2011,79.53,21713900,-0.344,-2.934,-4.918,11040,0
6/16/2011,78.59,19037500,-1.394,-1.491,-3.75,11040,0
6/17/2011,79.85,25441200,-1.496,-0.172,-2.266333,11611,1
6/20/2011,78.65,15836400,-0.698,-1.078,-2.136333,11611,0
6/21/2011,80.23,17897300,-0.652,-0.816,-1.975667,11611,1
6/22/2011,80.16,18599700,-0.094,-0.759,-2.132667,11611,0
6/23/2011,78.74,30032800,1.078,-1.483,-1.68,11611,0
6/24/2011,78.55,36292700,-0.338,-1.467,0.120667,11114,0
6/27/2011,76.88,20606900,0.414,-0.817,-0.691667,11114,0
6/28/2011,78.57,18421500,-1.524,-0.998,0.28,11114,1
6/29/2011,79.85,18899900,-1.642,-0.553,0.489667,11114,1
6/30/2011,80.39,19942100,-0.136,0.546,-0.405667,11114,1
7/1/2011,81.19,18050100,0.642,-0.498,-1.807667,11977,1
7/5/2011,81.3,18859600,3.358,1.001,-1.528333,11977,1
7/6/2011,81.4,15042600,2.404,-0.39,0.232667,11977,1
7/7/2011,82.27,18379200,1.512,-0.22,-0.567333,11977,1
7/8/2011,81.58,18336500,1.394,1.454,-0.451667,11401,1
7/11/2011,81.3,20717000,0.802,2.042,-1.066333,11401,1
7/12/2011,81.51,22639600,0.67,4.224,-2.222667,11401,1
7/13/2011,82.27,19015100,0.628,2.931,-2.787333,11401,1
7/14/2011,83.05,19413200,-0.06,1.936,-3.090333,11401,0
7/15/2011,82.42,22705100,0.606,1.595,-1.303333,11520,0
7/18/2011,82.29,17343500,1.002,0.957,0.282333,11520,1
7/19/2011,82.9,16424900,0.942,0.911,-0.358667,11520,1
7/20/2011,83.84,12808400,0.53,1.014,0.072667,11520,1
7/21/2011,83.86,21359700,-0.086,0.317,0.182667,11520,1
7/22/2011,85.2,13152600,1.1,1.273,-0.305333,12098,1
7/25/2011,84.2,14007600,1.674,1.833,0.119333,12098,0
7/26/2011,84.67,16226700,1.448,1.89,1.229,12098,1
7/27/2011,83.79,19820600,0.656,1.378,1.350333,12098,0
7/28/2011,81.74,24556600,0.638,0.681,1.968,12098,0
7/29/2011,80.79,26609000,-1.414,1.233,3.001333,11390,0
8/1/2011,80.82,22864500,-1.5,1.042,1.760333,11390,0
8/2/2011,78.9,28410500,-2.964,0.127,2.979667,11390,0
8/3/2011,77.94,28373000,-3.39,-1.392,1.337333,11390,0
8/4/2011,76.68,42624200,-2.458,-1.97,1.312333,11390,0
8/5/2011,75.01,47167500,-3.032,-4.428,2.533,11127,0
8/8/2011,72.74,58857600,-4.056,-4.468,2.602333,11127,0
8/9/2011,70.79,61753300,-4.018,-6.376,4.052667,11127,0
8/10/2011,70.74,47758300,-4.298,-6.769,2.153333,11127,0
8/11/2011,68.81,50328600,-4.976,-6.247,0.486667,11127,1
8/12/2011,72.36,31129000,-3.758,-6.285,-0.342333,11245,1
8/15/2011,73.04,23388200,-2.052,-7.094,-1.455,11245,1
8/16/2011,73.35,26341400,0.718,-5.705,-1.822333,11245,1
8/17/2011,74.29,18269400,1.14,-5.179,-2.192333,11245,1
8/18/2011,72.41,35457700,4.296,-4.275,-3.309333,11245,0
